Ticket,Category
Forgot account password,Account
Unable to update profile,Account
Account verification failed,Account
Login authentication issue,Account
Payment failed during checkout,Billing
Refund not received,Billing
Incorrect invoice generated,Billing
Need billing clarification,Billing
Duplicate payment charged,Billing
Internet connection is down,Technical
Server response is very slow,Technical
Application crashes frequently,Technical
Website not loading,Technical
Technical error while uploading files,Technical
Unable to login to account,Account
Forgot account password,Account
Unable to update profile,Account
Account verification failed,Account
Login authentication issue,Account
Payment failed during checkout,Billing
Refund not received,Billing
Incorrect invoice generated,Billing
Need billing clarification,Billing
Duplicate payment charged,Billing
Internet connection is down,Technical
Server response is very slow,Technical
Application crashes frequently,Technical
Website not loading,Technical
Technical error while uploading files,Technical
Unable to login to account,Account
Forgot account password,Account
Unable to update profile,Account
Account verification failed,Account
Login authentication issue,Account
Payment failed during checkout,Billing
Refund not received,Billing
Incorrect invoice generated,Billing
Need billing clarification,Billing
Duplicate payment charged,Billing
Internet connection is down,Technical
Server response is very slow,Technical
Application crashes frequently,Technical
Website not loading,Technical
Technical error while uploading files,Technical
Unable to login to account,Account
Forgot account password,Account
Unable to update profile,Account
